MANDT,POSTYPE,MATNR,OWNER,OWNER_ROLE,BATCH,CAT,STOCK_DOCCAT,STOCK_DOCNO,STOCK_ITMNO,STOCK_USAGE,ENTITELED,ENTITLED_ROLE,COO,QUAN,UNIT,HUTYP,LGPLA,GR_DATE,GR_TIME,VFDAT,PMAT,EXTNO,HUIDENT,PARHUIDENT,TOPHUIDENT,ROW,REFROW,G_WEIGHT,N_WEIGHT,UNIT_GW,T_WEIGHT,UNIT_TW,G_VOLUME,N_VOLUME,UNIT_GV,T_VOLUME,UNIT_TV,G_CAPA,N_CAPA,T_CAPA,LENGTH,WIDTH,HEIGHT,UNIT_LWH,MAX_WEIGHT,TOLW,TARE_VAR,MAX_VOLUME,TOLV,CLOSED_PACKAGE,MAX_CAPA,MAX_LENGTH,MAX_WIDTH,MAX_HEIGHT,UNIT_MAX_LWH,SERNR,CWQUAN,CWUNIT,CWEXACT,LOGPOS,UII,DUMMY_ISU,ZEUGN,AMOUNT_LC
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,24,PCE,,HIGH BAY BIN,20140213,85001,20140213,,,00000000000000,,00000000000000,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,23,PCE,,HIGH BAY BIN,20140213,84949,20140213,,,00000000000000,,00000000000000,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,24,PCE,,HIGH BAY BIN,20140213,84936,20140213,,,00000000000000,,00000000000000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,9,PCE,,HIGH BAY BIN,20140213,84905,20140213,,,00000000000000,,00000000000000,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,9465780,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,24,PCE,,HIGH BAY BIN,20140213,85042,20140213,,,00000000000000,,00000000000000,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,122008,20140604,,,00000000000000,,00000000000000,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,122013,20140604,,,00000000000000,,00000000000000,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,121956,20140604,,,00000000000000,,00000000000000,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,122001,20140604,,,00000000000000,,00000000000000,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,121933,20140604,,,00000000000000,,00000000000000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,121944,20140604,,,00000000000000,,00000000000000,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,121927,20140604,,,00000000000000,,00000000000000,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,12,PCE,,HIGH BAY BIN,20140604,121920,20140604,,,00000000000000,,00000000000000,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,122033,20140604,,,00000000000000,,00000000000000,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,122024,20140604,,,00000000000000,,00000000000000,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,30725325,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,18,PCE,,HIGH BAY BIN,20140604,122040,20140604,,,00000000000000,,00000000000000,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298624,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,60,PCE,,HIGH BAY BIN,20141215,125121,20141215,,,00000000000000,,00000000000000,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298626,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,110,PCE,,HIGH BAY BIN,20141215,125149,20141215,,,00000000000000,,00000000000000,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298628,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,110,PCE,,HIGH BAY BIN,20141215,124934,20141215,,,00000000000000,,00000000000000,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298618,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,900,PCE,,HIGH BAY BIN,20150105,133736,20150105,,,00000000000000,,00000000000000,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,31375104,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,8160,PCE,,HIGH BAY BIN,20150126,150335,20150126,,,00000000000000,,00000000000000,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,31375891,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,8120,PCE,,HIGH BAY BIN,20150126,150419,20150126,,,00000000000000,,00000000000000,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,31375111,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,8160,PCE,,HIGH BAY BIN,20150126,150520,20150126,,,00000000000000,,00000000000000,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298620,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,900,PCE,,HIGH BAY BIN,20150210,92111,20150210,,,00000000000000,,00000000000000,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298568,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,163435,20150217,,,00000000000000,,00000000000000,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298562,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,163534,20150217,,,00000000000000,,00000000000000,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298558,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,163650,20150217,,,00000000000000,,00000000000000,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298560,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,163719,20150217,,,00000000000000,,00000000000000,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298640,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,163811,20150217,,,00000000000000,,00000000000000,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298632,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,150,PCE,,HIGH BAY BIN,20150217,163838,20150217,,,00000000000000,,00000000000000,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298566,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,164120,20150217,,,00000000000000,,00000000000000,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298570,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,164217,20150217,,,00000000000000,,00000000000000,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298630,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,160,PCE,,HIGH BAY BIN,20150217,164246,20150217,,,00000000000000,,00000000000000,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298644,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,164410,20150217,,,00000000000000,,00000000000000,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298648,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,164439,20150217,,,00000000000000,,00000000000000,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298636,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,164528,20150217,,,00000000000000,,00000000000000,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298564,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,164753,20150217,,,00000000000000,,00000000000000,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298652,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,165855,20150217,,,00000000000000,,00000000000000,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298650,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,170409,20150217,,,00000000000000,,00000000000000,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298646,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,165757,20150217,,,00000000000000,,00000000000000,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298642,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,170556,20150217,,,00000000000000,,00000000000000,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298638,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,165646,20150217,,,00000000000000,,00000000000000,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298634,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,200,PCE,,HIGH BAY BIN,20150217,165725,20150217,,,00000000000000,,00000000000000,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,31375111,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,2240,PCE,,HIGH BAY BIN,20150220,95935,20150220,,,00000000000000,,00000000000000,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298574,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,250,PCE,,HIGH BAY BIN,20150518,140918,20150518,,,00000000000000,,00000000000000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298572,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,250,PCE,,HIGH BAY BIN,20150603,103000,20150603,,,00000000000000,,00000000000000,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298570,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,300,PCE,,HIGH BAY BIN,20150608,135336,20150608,,,00000000000000,,00000000000000,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,6763907,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,179,PCE,,HIGH BAY BIN,20150810,152254,20150810,,,00000000000000,,00000000000000,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,31375841,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,1440,PCE,,HIGH BAY BIN,20150928,74017,20150928,,,00000000000000,,00000000000000,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,31375834,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,960,PCE,,HIGH BAY BIN,20150928,74326,20150928,,,00000000000000,,00000000000000,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,41,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,170,PCE,,HIGH BAY BIN,20160114,84201,20160114,,,00000000000000,,00000000000000,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298578,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,1200,PCE,,HIGH BAY BIN,20160121,100934,20160121,,,00000000000000,,00000000000000,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298578,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,600,PCE,,HIGH BAY BIN,20160121,100934,20160121,,,00000000000000,,00000000000000,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298574,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,600,PCE,,HIGH BAY BIN,20160121,100934,20160121,,,00000000000000,,00000000000000,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,1298580,BP1101EWM,BP,,F2,,,,,BP1101EWM,BP,,1200,PCE,,HIGH BAY BIN,20160121,100938,20160121,,,00000000000000,,00000000000000,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,,,,,,,,,,,,,,,,HIGH BAY BIN,,,,8289999,X,00000000000000,,00000000000000,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
